rate_date,usd_php_open,usd_php_high,usd_php_low,usd_php_close,usd_php_volume,source
2024-06-25,58.685,58.791,58.61,58.685,0,yahoo_finance / USDPHP=X
2024-06-26,58.745,58.984,58.722,58.745,0,yahoo_finance / USDPHP=X
2024-06-27,58.933,58.95,58.455,58.933,0,yahoo_finance / USDPHP=X
2024-06-28,58.603,58.72,58.365,58.603,0,yahoo_finance / USDPHP=X
2024-07-01,58.48,58.721,58.421,58.48,0,yahoo_finance / USDPHP=X
2024-07-02,58.739,58.842,58.62,58.739,0,yahoo_finance / USDPHP=X
2024-07-03,58.777,58.847,58.613,58.777,0,yahoo_finance / USDPHP=X
2024-07-04,58.65,58.666,58.405,58.65,0,yahoo_finance / USDPHP=X
2024-07-05,58.389,58.61,58.246,58.389,0,yahoo_finance / USDPHP=X
2024-07-08,58.526,58.581,58.4,58.526,0,yahoo_finance / USDPHP=X
2024-07-09,58.462,58.565,58.335,58.462,0,yahoo_finance / USDPHP=X
2024-07-10,58.487,58.493,58.065,58.487,0,yahoo_finance / USDPHP=X
2024-07-11,58.19,58.396,57.876,58.19,0,yahoo_finance / USDPHP=X
2024-07-12,58.158,58.45,58.06,58.158,0,yahoo_finance / USDPHP=X
2024-07-15,58.401,58.576,58.345,58.401,0,yahoo_finance / USDPHP=X
2024-07-16,58.351,58.513,58.293,58.351,0,yahoo_finance / USDPHP=X
2024-07-17,58.317,58.389,58.115,58.317,0,yahoo_finance / USDPHP=X
2024-07-18,58.15,58.344,58.115,58.15,0,yahoo_finance / USDPHP=X
2024-07-19,58.191,58.405,58.174,58.191,0,yahoo_finance / USDPHP=X
2024-07-22,58.33,58.465,58.325,58.33,0,yahoo_finance / USDPHP=X
2024-07-23,58.405,58.519,58.195,58.405,0,yahoo_finance / USDPHP=X
2024-07-24,58.455,58.639,58.324,58.455,0,yahoo_finance / USDPHP=X
2024-07-25,58.491,58.664,58.302,58.491,0,yahoo_finance / USDPHP=X
2024-07-26,58.507,58.58,58.227,58.507,0,yahoo_finance / USDPHP=X
2024-07-29,58.36,58.591,58.32,58.36,0,yahoo_finance / USDPHP=X
2024-07-30,58.622,58.699,58.46,58.622,0,yahoo_finance / USDPHP=X
2024-07-31,58.555,58.575,58.254,58.555,0,yahoo_finance / USDPHP=X
2024-08-01,58.25,58.395,58.135,58.25,0,yahoo_finance / USDPHP=X
2024-08-02,58.208,58.31,56.696,58.208,0,yahoo_finance / USDPHP=X
2024-08-05,57.931,57.931,57.271,57.931,0,yahoo_finance / USDPHP=X
2024-08-06,57.669,58.012,57.554,57.669,0,yahoo_finance / USDPHP=X
2024-08-07,57.685,57.838,57.415,57.685,0,yahoo_finance / USDPHP=X
2024-08-08,57.488,57.63,56.235,57.488,0,yahoo_finance / USDPHP=X
2024-08-09,57.14,57.401,57.1,57.14,0,yahoo_finance / USDPHP=X
2024-08-12,57.275,57.386,57.015,57.275,0,yahoo_finance / USDPHP=X
2024-08-13,57.206,57.3,56.308,57.206,0,yahoo_finance / USDPHP=X
2024-08-14,56.861,57.092,56.78,56.861,0,yahoo_finance / USDPHP=X
2024-08-15,56.852,57.252,56.381,56.852,0,yahoo_finance / USDPHP=X
2024-08-16,57.155,57.277,56.97,57.155,0,yahoo_finance / USDPHP=X
2024-08-19,57.084,57.084,56.539,57.084,0,yahoo_finance / USDPHP=X
2024-08-20,56.643,56.639,56.358,56.643,0,yahoo_finance / USDPHP=X
2024-08-21,56.249,56.565,56.098,56.249,0,yahoo_finance / USDPHP=X
2024-08-22,56.111,56.514,56.108,56.111,0,yahoo_finance / USDPHP=X
2024-08-23,56.476,56.508,55.676,56.476,0,yahoo_finance / USDPHP=X
2024-08-26,56.415,56.415,55.553,56.415,0,yahoo_finance / USDPHP=X
2024-08-27,55.925,56.415,55.989,55.925,0,yahoo_finance / USDPHP=X
2024-08-28,56.191,56.333,55.992,56.191,0,yahoo_finance / USDPHP=X
2024-08-29,56.204,56.311,56.008,56.204,0,yahoo_finance / USDPHP=X
2024-08-30,56.07,56.225,55.862,56.07,0,yahoo_finance / USDPHP=X
2024-09-02,56.221,56.541,56.135,56.221,0,yahoo_finance / USDPHP=X
2024-09-03,56.457,56.72,56.028,56.457,0,yahoo_finance / USDPHP=X
2024-09-04,56.414,56.592,55.904,56.414,0,yahoo_finance / USDPHP=X
2024-09-05,56.393,56.446,47.471,56.393,0,yahoo_finance / USDPHP=X
2024-09-06,55.893,56.12,50.46,55.893,0,yahoo_finance / USDPHP=X
2024-09-09,56.22,56.575,56.033,56.175,0,yahoo_finance / USDPHP=X
2024-09-10,56.112,56.57,56.102,56.112,0,yahoo_finance / USDPHP=X
2024-09-11,56.019,56.333,55.757,56.019,0,yahoo_finance / USDPHP=X
2024-09-12,55.95,56.197,55.81,55.95,0,yahoo_finance / USDPHP=X
2024-09-13,56.06,56.186,51.767,56.06,0,yahoo_finance / USDPHP=X
